season_end_year,date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,b365h,b365d,b365a,bbavh,bbavd,bbava,psh,psd,psa,o_h,o_d,o_a,imp_h_raw,imp_d_raw,imp_a_raw,overround,p_home,p_draw,p_away
2018,2017-10-16,leicester,west brom,1,1,1.3,0.2,2.05,3.4,4.2,NA,NA,NA,2.03,3.4,4.28,2.05,3.4,4.2,0.48780487804878053,0.29411764705882354,0.23809523809523808,1.0200177632028422,0.478231748158071,0.28834561286001337,0.23342263898191556
2018,2017-10-20,west ham,brighton,0,3,0.7,1.4,1.83,3.5,5.25,NA,NA,NA,1.82,3.53,5.34,1.83,3.5,5.25,0.5464480874316939,0.2857142857142857,0.19047619047619047,1.02263856362217,0.5343511450381679,0.2793893129770993,0.18625954198473285
2018,2017-10-21,chelsea,watford,4,2,1.9,1.9,1.36,5.25,10,NA,NA,NA,1.4,5.08,8.95,1.36,5.25,10,0.7352941176470588,0.19047619047619047,0.1,1.0257703081232492,0.7168214090660842,0.18569087930092845,0.09748771163298746
2018,2017-10-21,man city,burnley,3,0,3.1,0.2,1.11,12,26,NA,NA,NA,1.12,12.2,23,1.11,12,26,0.9009009009009008,0.08333333333333333,0.038461538461538464,1.0226957726957726,0.8809080128748094,0.08148399119091987,0.037607995934270715
2018,2017-10-21,huddersfield,man united,2,1,1.2,0.8,11,5,1.36,NA,NA,NA,11.73,5.12,1.35,11,5,1.36,0.09090909090909091,0.2,0.7352941176470588,1.0262032085561497,0.08858780614903597,0.19489317352787913,0.7165190203230849
2018,2017-10-21,swansea,leicester,1,2,0.8,1.9,2.79,3.25,2.75,NA,NA,NA,2.83,3.31,2.74,2.79,3.25,2.75,0.35842293906810035,0.3076923076923077,0.36363636363636365,1.0297516103967719,0.34806737416025696,0.29880245350988216,0.3531301723298607
2018,2017-10-21,stoke,bournemouth,1,2,1.2,1.1,2.14,3.5,3.6,NA,NA,NA,2.21,3.44,3.61,2.14,3.5,3.6,0.4672897196261682,0.2857142857142857,0.2777777777777778,1.0307817831182318,0.45333525221270776,0.277182125638627,0.2694826221486652
2018,2017-10-21,newcastle,crystal palace,1,0,0.3,0.5,2,3.5,4.2,NA,NA,NA,1.98,3.58,4.24,2,3.5,4.2,0.5,0.2857142857142857,0.23809523809523808,1.0238095238095237,0.48837209302325585,0.27906976744186046,0.23255813953488372
2018,2017-10-21,southampton,west brom,1,0,2,0.4,1.85,3.39,5.25,NA,NA,NA,1.82,3.47,5.49,1.85,3.39,5.25,0.5405405405405405,0.2949852507374631,0.19047619047619047,1.026001981754194,0.5268416144931397,0.28750943563784914,0.18564894986901115
2018,2017-10-22,everton,arsenal,2,5,1,3.5,3.79,3.6,2.04,NA,NA,NA,3.84,3.71,2.04,3.79,3.6,2.04,0.2638522427440633,0.2777777777777778,0.49019607843137253,1.0318260989532138,0.25571386788116823,0.26920987757489656,0.4750762545439351
2018,2017-10-22,tottenham,liverpool,4,1,2,0.6,2.25,3.5,3.39,NA,NA,NA,2.22,3.62,3.4,2.25,3.5,3.39,0.4444444444444444,0.2857142857142857,0.2949852507374631,1.0251439808961933,0.43354343655796107,0.27870649493011784,0.2877500685119211
2018,2017-10-28,man united,tottenham,1,0,0.8,1.2,2.14,3.39,3.79,NA,NA,NA,2.23,3.38,3.62,2.14,3.39,3.79,0.4672897196261682,0.2949852507374631,0.2638522427440633,1.0261272131076946,0.45539160608649115,0.2874743472050416,0.2571340467084673
2018,2017-10-28,arsenal,swansea,2,1,2,0.9,1.25,7,12,NA,NA,NA,1.24,7.35,13.5,1.25,7,12,0.8,0.14285714285714285,0.08333333333333333,1.026190476190476,0.7795823665893272,0.13921113689095127,0.08120649651972157
2018,2017-10-28,crystal palace,west ham,2,2,2.6,0.8,2.39,3.29,3.29,NA,NA,NA,2.36,3.34,3.37,2.39,3.29,3.29,0.41841004184100417,0.303951367781155,0.303951367781155,1.026312777403314,0.40768277571251554,0.2961586121437423,0.2961586121437423
2018,2017-10-28,watford,stoke,0,1,1.2,1.1,2.04,3.6,3.79,NA,NA,NA,2.04,3.69,3.86,2.04,3.6,3.79,0.49019607843137253,0.2777777777777778,0.2638522427440633,1.0318260989532135,0.4750762545439352,0.2692098775748966,0.2557138678811683
2018,2017-10-28,liverpool,huddersfield,3,0,2.1,0.1,1.25,6.75,13,NA,NA,NA,1.25,6.7,14,1.25,6.75,13,0.8,0.14814814814814814,0.07692307692307693,1.025071225071225,0.7804335742078933,0.14452473596442467,0.07504168982768206
2018,2017-10-28,west brom,man city,2,3,1.5,2.3,11,6.5,1.28,NA,NA,NA,12.41,6.83,1.26,11,6.5,1.28,0.09090909090909091,0.15384615384615385,0.78125,1.0260052447552448,0.088604898828541,0.14994675186368478,0.7614483493077742
2018,2017-10-28,bournemouth,chelsea,0,1,0.5,1.6,6,4.2,1.61,NA,NA,NA,5.59,4.29,1.65,6,4.2,1.61,0.16666666666666666,0.23809523809523808,0.6211180124223602,1.025879917184265,0.16246215943491424,0.23208879919273462,0.6054490413723511
